Timestamp,Latitude,Longitude,Local_X_m,Local_Y_m,Pressure_Depth_m,Linear_Vx_ms,Linear_Vy_ms,Gyro_Heading_Yaw,Satellites_Count,DVL_FOM,Navigation_Drift_m
18:46:02,22.2552704,84.9038964,0.457,0.655,0.03,0.009,-0.001,54.4,8,0.0011,0.80
18:46:02,22.2552704,84.9038964,0.457,0.655,0.03,0.008,0.019,53.9,8,0.0012,0.80
18:46:02,22.2552703,84.9038969,0.498,0.616,0.05,0.047,0.017,53.6,8,0.0000,0.79
18:46:02,22.2552703,84.9038969,0.499,0.617,0.05,0.008,0.027,53.6,8,0.0014,0.79
18:46:02,22.2552703,84.9038969,0.500,0.619,0.05,-0.008,0.034,53.6,8,0.0016,0.80
18:46:02,22.2552703,84.9038969,0.500,0.620,0.05,0.029,0.035,53.5,8,0.0000,0.80
18:46:02,22.2552703,84.9038969,0.536,0.585,0.05,-0.012,0.030,53.7,8,0.0018,0.79
18:46:02,22.2552703,84.9038969,0.536,0.586,0.05,-0.018,0.027,53.7,8,0.0020,0.79
18:46:02,22.2552703,84.9038969,0.536,0.588,0.05,0.016,0.032,53.7,8,0.0000,0.80
18:46:02,22.2552703,84.9038969,0.535,0.589,0.05,-0.025,0.027,54.1,8,0.0022,0.80
18:46:02,22.2552704,84.9038971,0.568,0.558,0.14,-0.014,0.036,54.8,8,0.0023,0.80
18:46:02,22.2552704,84.9038971,0.568,0.559,0.14,-0.011,0.041,54.8,8,0.0025,0.80
18:46:02,22.2552704,84.9038971,0.568,0.562,0.14,0.020,0.048,54.8,8,0.0000,0.80
18:46:02,22.2552704,84.9038971,0.568,0.565,0.14,-0.011,0.061,55.5,8,0.0025,0.80
18:46:02,22.2552702,84.9038967,0.568,0.568,0.23,0.003,0.070,56.3,8,0.0025,0.80
18:46:02,22.2552702,84.9038967,0.569,0.572,0.23,0.006,0.079,56.3,8,0.0025,0.81
18:46:02,22.2552702,84.9038967,0.570,0.576,0.23,0.036,0.086,57.1,8,0.0000,0.81
18:46:02,22.2552702,84.9038967,0.570,0.580,0.23,0.006,0.096,57.1,8,0.0026,0.81
18:46:02,22.2552702,84.9038967,0.571,0.585,0.23,0.006,0.108,57.9,8,0.0026,0.82
18:46:02,22.2552702,84.9038967,0.572,0.591,0.23,0.006,0.125,57.9,8,0.0026,0.82
18:46:02,22.2552702,84.9038967,0.573,0.598,0.23,0.035,0.133,58.7,8,0.0000,0.83
18:46:03,22.2552702,84.9038967,0.573,0.604,0.23,-0.011,0.132,58.7,8,0.0026,0.83
18:46:03,22.2552698,84.9038957,0.573,0.611,0.29,-0.010,0.143,58.4,8,0.0025,0.84
18:46:03,22.2552698,84.9038957,0.572,0.619,0.29,-0.026,0.162,58.6,8,0.0028,0.84
18:46:03,22.2552698,84.9038957,0.572,0.627,0.29,0.017,0.164,58.6,8,0.0000,0.85
18:46:03,22.2552698,84.9038957,0.572,0.635,0.29,-0.020,0.150,58.6,8,0.0027,0.85
18:46:03,22.2552698,84.9038957,0.571,0.642,0.29,-0.020,0.153,58.8,8,0.0025,0.86
18:46:03,22.2552698,84.9038957,0.572,0.651,0.29,0.147,0.242,58.7,8,0.0136,0.87
18:46:03,22.2552698,84.9038957,0.581,0.663,0.29,0.191,0.239,58.7,8,0.0000,0.88
18:46:03,22.2552698,84.9038957,0.592,0.674,0.29,0.251,0.194,58.7,8,0.0302,0.90
18:46:03,22.2552698,84.9038957,0.606,0.683,0.29,0.296,0.190,59.2,8,10.0005,0.91
